#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"147,319,632","+161,272","1,421,872",+574,"125,433,569","+136,691","20,464,191","12,897",,,,,,Asia,,,,,,
,North America,"98,043,444","+66,648","1,458,018",+451,"94,008,299","+53,377","2,577,127","7,039",,,,,,North America,,,,,,
,South America,"56,716,890","+24,457","1,293,559",+187,"52,797,138","+8,544","2,626,193","10,882",,,,,,South America,,,,,,
,Europe,"189,866,602","+333,078","1,812,981","+1,600","174,264,467","+669,615","13,789,154","10,348",,,,,,Europe,,,,,,
,Oceania,"6,947,425","+45,175","10,397",+76,"6,482,673","+59,680","454,355",179,,,,,,Australia/Oceania,,,,,,
,Africa,"11,877,820","+7,095","253,773",+35,"11,088,380","+3,993","535,667",956,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"510,772,534","+637,725","6,250,615","+2,923","464,075,232","+931,900","40,446,687","42,301","65,527",801.9,,,,All,,,,,,
1,China,"205,257","+1,923","4,828",+52,"171,703","+2,323","28,726",341,143,3,"160,000,000","111,163","1,439,323,776",Asia,"7,012","298,120",9,1,0.04,20
2,USA,"82,838,895","+53,765","1,019,582",+375,"80,553,663","+41,819","1,265,650","1,457","247,626","3,048","1,002,337,197","2,996,229","334,532,930",North America,4,328,0,161,1,"3,783"
3,India,"43,065,666","+3,569","523,654",+151,"42,525,563","+2,252","16,449",698,"30,659",373,"835,974,079","595,135","1,404,680,388",Asia,33,"2,682",2,3,0.1,12
4,Brazil,"30,378,061","+22,142","662,941",+164,"29,411,813",,"303,307","8,318","141,091","3,079","63,776,166","296,210","215,307,551",South America,7,325,3,103,0.8,"1,409"
5,France,"28,415,413","+97,498","145,427",+170,"26,245,214","+161,753","2,024,772","1,677","433,583","2,219","266,484,045","4,066,211","65,536,206",Europe,2,451,0,"1,488",3,"30,895"
6,Germany,"24,363,379","+135,699","135,124",+307,"21,665,200","+240,000","2,563,055","1,980","289,107","1,603","122,332,384","1,451,651","84,271,199",Europe,3,624,1,"1,610",4,"30,414"
7,UK,"22,004,230","+16,696","174,144",+451,"21,028,336","+73,261","801,750",321,"321,067","2,541","516,236,032","7,532,487","68,534,608",Europe,3,394,0,244,7,"11,698"
8,Russia,"18,151,895","+7,107","375,237",+176,"17,495,382","+11,899","281,276","2,300","124,287","2,569","273,400,000","1,871,984","146,048,270",Europe,8,389,1,49,1,"1,926"
9,S. Korea,"17,009,865","+80,301","22,325",+82,N/A,N/A,N/A,613,"331,257",435,"15,804,065","307,775","51,349,433",Asia,3,"2,300",3,"1,564",2,"311,941"
10,Italy,"16,191,814","+30,066","162,927",+146,"14,793,420","+37,462","1,235,467",409,"268,520","2,702","212,013,319","3,515,967","60,300,137",Europe,4,370,0,499,2,"20,489"
11,Turkey,"15,023,662","+2,511","98,720",+14,"14,903,420","+14,425","21,522",975,"174,715","1,148","158,505,155","1,843,306","85,989,599",Asia,6,871,1,29,0.2,250
12,Spain,"11,833,457","+11,856","104,227",+79,"11,347,449","+24,219","381,781",339,"252,918","2,228","471,036,328","10,067,522","46,787,714",Europe,4,449,0,253,2,"8,160"
13,Vietnam,"10,623,512","+8,434","43,029",+8,"9,116,225","+23,465","1,464,258",620,"107,383",435,"85,792,898","867,195","98,931,474",Asia,9,"2,299",1,85,0.08,"14,801"
14,Argentina,"9,072,230",,"128,542",,"8,895,999",,"47,689",372,"197,437","2,797","35,716,069","777,280","45,950,062",South America,5,357,1,,,"1,038"
15,Netherlands,"8,042,469","+1,896","22,234",+6,"7,731,657","+25,013","288,578",77,"467,481","1,292","21,107,399","1,226,901","17,203,828",Europe,2,774,1,110,0.3,"16,774"
16,Japan,"7,688,507","+28,495","29,344",+36,"7,223,164","+44,416","435,999",200,"61,130",233,"46,888,808","372,807","125,772,339",Asia,16,"4,286",3,227,0.3,"3,467"
17,Iran,"7,218,424","+1,307","141,024",+28,"6,972,286","+2,816","105,114",997,"83,986","1,641","50,914,586","592,388","85,948,099",Asia,12,609,2,15,0.3,"1,223"
18,Colombia,"6,091,753",+202,"139,783",+3,"5,925,390",+350,"26,580",342,"117,444","2,695","34,407,374","663,348","51,869,255",South America,9,371,2,4,0.06,512
19,Indonesia,"6,045,043",+576,"156,163",+30,"5,879,141","+4,058","9,739","2,771","21,684",560,"95,155,820","341,325","278,783,952",Asia,46,"1,785",3,2,0.1,35
20,Poland,"5,992,820","+1,356","115,977",+29,"5,334,439",+59,"542,404","1,588","158,661","3,071","36,049,225","954,410","37,771,225",Europe,6,326,1,36,0.8,"14,360"
21,Australia,"5,756,477","+36,350","7,069",+67,"5,402,976","+49,943","346,432",141,"221,080",271,"68,924,815","2,647,089","26,037,970",Australia/Oceania,5,"3,683",0,"1,396",3,"13,305"
22,Mexico,"5,733,925",+140,"324,134",+5,"5,034,909",+482,"374,882","4,798","43,638","2,467","15,767,876","120,002","131,396,426",North America,23,405,8,1,0.04,"2,853"
23,Ukraine,"4,999,172",+655,"108,343",+14,N/A,N/A,N/A,177,"115,572","2,505","19,521,252","451,296","43,255,978",Europe,9,399,2,15,0.3,"19,253"
24,Malaysia,"4,436,912","+3,361","35,520",+13,"4,339,521","+9,484","61,871",101,"133,964","1,072","58,469,707","1,765,381","33,120,156",Asia,7,932,1,101,0.4,"1,868"
25,Thailand,"4,194,684","+13,816","28,022",+120,"3,999,541","+21,072","167,121","1,496","59,823",400,"17,270,775","246,308","70,118,531",Asia,17,"2,502",4,197,2,"2,383"
26,Austria,"4,114,558","+5,588","18,076",+22,"4,008,005","+9,227","88,477",111,"452,156","1,986","182,179,543","20,020,029","9,099,864",Europe,2,503,0,614,2,"9,723"
27,Israel,"4,066,021","+3,743","10,694",+21,"4,026,872","+4,259","28,455",220,"435,988","1,147","41,373,364","4,436,346","9,326,000",Asia,2,872,0,401,2,"3,051"
28,Belgium,"4,036,113",,"31,382",,"3,759,930","+20,016","244,801",156,"345,517","2,687","33,531,891","2,870,547","11,681,361",Europe,3,372,0,,,"20,957"
29,Czechia,"3,898,416","+2,255","40,112",+10,"3,841,800","+1,095","16,504",39,"362,808","3,733","55,140,253","5,131,658","10,745,115",Europe,3,268,0,210,0.9,"1,536"
30,Portugal,"3,791,744",,"22,162",,N/A,N/A,N/A,61,"373,842","2,185","41,060,137","4,048,269","10,142,640",Europe,3,458,0,,,"88,084"
31,South Africa,"3,769,927","+5,062","100,348",+15,"3,635,429",+983,"34,150",175,"62,140","1,654","24,370,285","401,695","60,668,605",Africa,16,605,2,83,0.2,563
32,Canada,"3,714,127","+7,240","38,901",+54,"3,440,493","+8,549","234,733",471,"96,863","1,015","60,712,755","1,583,370","38,344,014",North America,10,986,1,189,1,"6,122"
33,Philippines,"3,684,834",+122,"60,195",+1,"3,613,060","+1,181","11,579",289,"32,832",536,"29,468,174","262,561","112,233,503",Asia,30,"1,864",4,1,0.01,103
