#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"117,333,274","+542,556","1,350,430","+1,930","107,989,494","+375,976","7,993,350","31,352",,,,,,Asia,,,,,,
,North America,"95,006,983","+67,455","1,407,004","+1,915","66,238,130","+254,870","27,361,849","13,603",,,,,,North America,,,,,,
,South America,"54,325,429","+48,665","1,258,590",+612,"48,192,014","+215,387","4,874,825","13,322",,,,,,South America,,,,,,
,Europe,"156,893,376","+670,848","1,711,758","+2,716","134,740,651","+1,303,939","20,440,967","14,419",,,,,,Europe,,,,,,
,Africa,"11,542,596","+16,593","249,675",+142,"10,653,427","+33,537","639,494","1,820",,,,,,Africa,,,,,,
,Oceania,"3,597,636","+44,967","7,812",+51,"3,239,218","+30,390","350,606",194,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"438,700,015","+1,391,084","5,985,284","+7,366","371,053,640","+2,214,099","61,661,091","74,710","56,281",767.9,,,,All,,,,,,
1,China,"109,526",+200,"4,636",,"102,017",+81,"2,873",19,76,3,"160,000,000","111,163","1,439,323,776",Asia,"13,141","310,467",9,0.1,,2
2,USA,"80,719,765","+49,036","978,556","+1,675","53,739,739","+230,543","26,001,470","7,522","241,505","2,928","951,544,688","2,846,920","334,236,503",North America,4,342,0,147,5,"77,794"
3,India,"42,938,599","+7,554","514,246",+192,"42,338,673","+14,123","85,680","8,944","30,613",367,"768,382,993","547,825","1,402,606,131",Asia,33,"2,728",2,5,0.1,61
4,Brazil,"28,811,165","+23,545","649,717",+274,"26,506,005","+169,632","1,655,443","8,318","133,958","3,021","63,776,166","296,528","215,076,719",South America,7,331,3,109,1,"7,697"
5,France,"22,782,609","+79,794","138,576",+209,"21,080,886","+179,382","1,563,147","2,484","347,751","2,115","246,629,975","3,764,529","65,514,171",Europe,3,473,0,"1,218",3,"23,860"
6,UK,"18,985,117","+23,976","161,630",+15,"17,537,214","+87,564","1,286,273",289,"277,235","2,360","482,718,940","7,049,034","68,480,157",Europe,4,424,0,350,0.2,"18,783"
7,Russia,"16,495,369","+97,333","352,446",+786,"13,748,465","+172,813","2,394,458","2,300","112,952","2,413","273,400,000","1,872,106","146,038,728",Europe,9,414,1,666,5,"16,396"
8,Germany,"14,974,713","+150,565","123,721",+275,"11,239,500","+228,800","3,611,492","2,494","177,783","1,469","104,701,826","1,243,042","84,230,316",Europe,6,681,1,"1,788",3,"42,876"
9,Turkey,"14,149,341","+59,885","94,648",+203,"13,437,729","+71,545","616,964","1,128","164,813","1,102","144,214,377","1,679,825","85,850,820",Asia,6,907,1,698,2,"7,186"
10,Italy,"12,831,489","+48,148","155,000",+233,"11,601,742","+73,607","1,074,747",708,"212,746","2,570","187,867,237","3,114,836","60,313,686",Europe,5,389,0,798,4,"17,819"
11,Spain,"11,036,085","+14,641","99,883",+119,"9,679,247","+118,803","1,256,955","1,053","235,890","2,135","471,036,328","10,068,116","46,784,953",Europe,4,468,0,313,3,"26,867"
12,Argentina,"8,904,176","+3,520","126,257",+105,"8,688,724","+6,534","89,195","1,136","194,047","2,751","34,279,674","747,051","45,886,668",South America,5,363,1,77,2,"1,944"
13,Iran,"7,060,741","+9,312","137,064",+226,"6,665,702","+13,514","257,975","4,027","82,309","1,598","47,252,235","550,831","85,783,612",Asia,12,626,2,109,3,"3,007"
14,Netherlands,"6,398,114","+36,488","21,570",+16,"4,416,938","+84,253","1,959,606",174,"372,026","1,254","21,107,399","1,227,314","17,198,043",Europe,3,797,1,"2,122",0.9,"113,944"
