#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"146,458,205","+202,475","1,417,962",+585,"124,788,786","+222,814","20,251,457","13,455",,,,,,Asia,,,,,,
,North America,"97,725,418","+78,547","1,455,867",+597,"93,779,275","+44,907","2,490,276","7,030",,,,,,North America,,,,,,
,South America,"56,641,235","+23,692","1,292,818",+160,"52,691,918","+20,335","2,656,499","10,953",,,,,,South America,,,,,,
,Europe,"188,437,851","+479,519","1,807,269","+2,056","171,443,166","+661,646","15,187,416","9,236",,,,,,Europe,,,,,,
,Oceania,"6,713,841","+65,235","10,160",+69,"6,227,118","+64,751","476,563",183,,,,,,Australia/Oceania,,,,,,
,Africa,"11,854,984","+5,484","253,667",+71,"11,078,656","+2,621","522,661",957,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"507,832,255","+854,952","6,237,758","+3,538","460,009,625","+1,017,074","41,584,872","41,814","65,150",800.2,,,,All,,,,,,
1,China,"193,953","+2,841","4,663",+8,"157,869","+2,185","31,421",223,135,3,"160,000,000","111,163","1,439,323,776",Asia,"7,421","308,669",9,2,0.01,22
2,USA,"82,576,760","+54,014","1,017,897",+396,"80,367,438","+34,920","1,191,425","1,492","246,861","3,043","999,047,824","2,986,632","334,506,463",North America,4,329,0,161,1,"3,562"
3,India,"43,052,425","+2,451","522,116",+54,"42,516,068","+1,589","14,241",698,"30,653",372,"833,377,052","593,364","1,404,495,187",Asia,33,"2,690",2,2,0.04,10
4,Brazil,"30,330,629","+18,660","662,556",+86,"29,353,398","+12,596","314,675","8,318","140,885","3,078","63,776,166","296,238","215,286,941",South America,7,325,3,87,0.4,"1,462"
5,France,"28,076,017","+104,007","144,799",+185,"25,618,858","+148,402","2,312,360","1,677","428,418","2,210","266,484,045","4,066,333","65,534,239",Europe,2,453,0,"1,587",3,"35,285"
6,Germany,"23,915,437","+139,849","134,284",+390,"20,853,100","+243,700","2,928,053","1,980","283,804","1,594","122,332,384","1,451,714","84,267,549",Europe,4,628,1,"1,660",5,"34,747"
7,UK,"21,921,813","+19,995","173,032",+646,"20,653,583","+71,883","1,095,198",349,"319,888","2,525","514,568,936","7,508,695","68,529,747",Europe,3,396,0,292,9,"15,981"
8,Russia,"18,110,861","+8,875","374,368",+197,"17,437,610","+14,182","298,883","2,300","124,007","2,563","273,400,000","1,871,995","146,047,418",Europe,8,390,1,61,1,"2,046"
9,S. Korea,"16,674,045","+90,825","21,667",+147,N/A,N/A,N/A,846,"324,721",422,"15,804,065","307,778","51,348,832",Asia,3,"2,370",3,"1,769",3,"305,418"
10,Italy,"15,934,969","+75,552","162,264",+166,"14,549,360","+59,916","1,223,345",415,"264,256","2,691","210,506,904","3,490,916","60,301,346",Europe,4,372,0,"1,253",3,"20,287"
11,Turkey,"15,010,718","+3,354","98,645",+17,"14,817,258","+18,964","94,815",975,"174,590","1,147","157,823,818","1,835,647","85,977,208",Asia,6,872,1,39,0.2,"1,103"
12,Spain,"11,769,655","+16,381","103,845",+62,"11,247,866","+13,475","417,944",345,"251,556","2,220","471,036,328","10,067,575","46,787,468",Europe,4,451,0,350,1,"8,933"
13,Vietnam,"10,533,164","+12,029","42,991",+9,"9,076,927","+8,693","1,413,246",826,"106,482",435,"85,770,895","867,078","98,919,521",Asia,9,"2,301",1,122,0.09,"14,287"
14,Argentina,"9,060,923",,"128,344",,"8,895,999",,"36,580",412,"197,215","2,793","35,716,069","777,376","45,944,402",South America,5,358,1,,,796
15,Netherlands,"8,032,975","+2,997","22,197",+18,"7,561,673","+40,523","449,105",96,"466,944","1,290","21,107,399","1,226,938","17,203,311",Europe,2,775,1,174,1,"26,106"
16,Japan,"7,487,624","+47,460","29,151",+49,"6,985,295","+65,198","473,178",202,"59,531",232,"46,249,180","367,706","125,777,605",Asia,17,"4,315",3,377,0.4,"3,762"
17,Iran,"7,213,808","+1,413","140,919",+23,"6,958,045","+3,104","114,844","1,173","83,946","1,640","50,079,995","582,777","85,933,412",Asia,12,610,2,16,0.3,"1,336"
18,Colombia,"6,090,520",+274,"139,759",+4,"5,923,901",+282,"26,860",342,"117,437","2,695","34,327,907","661,911","51,861,850",South America,9,371,2,5,0.08,518
19,Indonesia,"6,042,595",+585,"156,015",+41,"5,855,361","+14,416","31,219","2,771","21,678",560,"94,642,736","339,532","278,744,464",Asia,46,"1,787",3,2,0.1,112
20,Poland,"5,988,517","+1,177","115,899",+30,"5,334,219",+56,"538,399",268,"158,545","3,068","35,991,052","952,855","37,771,789",Europe,6,326,1,31,0.8,"14,254"
21,Mexico,"5,730,560","+1,290","324,004",+31,"5,031,487","+1,138","375,069","4,798","43,619","2,466","15,737,769","119,790","131,377,932",North America,23,405,8,10,0.2,"2,855"
22,Australia,"5,563,870","+54,557","6,893",+51,"5,186,006","+54,744","370,971",151,"213,716",265,"68,623,280","2,635,917","26,033,929",Australia/Oceania,5,"3,777",0,"2,096",2,"14,250"
23,Ukraine,"4,996,411","+1,021","108,296",+10,N/A,N/A,N/A,177,"115,498","2,503","19,521,252","451,259","43,259,549",Europe,9,399,2,24,0.2,"19,189"
24,Malaysia,"4,415,101","+5,899","35,470",+5,"4,291,447","+8,434","88,184",92,"133,328","1,071","58,190,515","1,757,252","33,114,491",Asia,8,934,1,178,0.2,"2,663"
25,Thailand,"4,106,230","+21,931","27,395",+129,"3,889,912","+24,619","188,923","1,496","58,563",391,"17,270,775","246,317","70,116,145",Asia,17,"2,559",4,313,2,"2,694"
26,Austria,"4,084,358","+11,948","18,016",,"3,958,362","+13,228","107,980",130,"448,872","1,980","181,352,090","19,930,634","9,099,163",Europe,2,505,0,"1,313",,"11,867"
27,Israel,"4,047,693","+2,699","10,658",,"4,009,152","+67,311","27,883",220,"434,022","1,143","41,373,364","4,436,346","9,326,000",Asia,2,875,0,289,,"2,990"
28,Belgium,"4,015,791","+4,682","31,319",+15,"3,690,303","+7,246","294,169",169,"343,798","2,681","33,456,470","2,864,259","11,680,674",Europe,3,373,0,401,1,"25,184"
29,Czechia,"3,890,354","+3,435","40,054",+17,"3,825,338","+1,689","24,962",49,"362,067","3,728","55,075,486","5,125,759","10,744,844",Europe,3,268,0,320,2,"2,323"
30,Portugal,"3,781,156","+10,569","22,148",+17,N/A,N/A,N/A,61,"372,783","2,184","40,748,372","4,017,371","10,143,044",Europe,3,458,0,"1,042",2,"87,038"
31,South Africa,"3,750,830","+4,406","100,276",+65,"3,631,082","+1,049","19,472",175,"61,835","1,653","24,262,108","399,979","60,658,391",Africa,16,605,3,73,1,321
32,Canada,"3,684,288","+19,589","38,688",+146,"3,415,904","+6,139","229,696",426,"96,096","1,009","60,485,077","1,577,618","38,339,498",North America,10,991,1,511,4,"5,991"
33,Philippines,"3,683,864",+133,"60,056",+66,"3,607,038","+1,159","16,770",289,"32,829",535,"29,359,833","261,642","112,213,576",Asia,30,"1,868",4,1,0.6,149
34,Switzerland,"3,579,867",,"13,816",,"3,305,310",,"260,741",90,"408,247","1,576","20,666,182","2,356,766","8,768,874",Europe,2,635,0,,,"29,735"
35,Peru,"3,558,613",+744,"212,715",+11,N/A,N/A,N/A,351,"105,282","6,293","29,550,426","874,251","33,800,850",South America,9,159,1,22,0.3,"48,083"
36,Chile,"3,538,843","+3,309","57,325",+42,"3,350,681","+6,811","130,837",295,"182,298","2,953","36,604,833","1,885,641","19,412,407",South America,5,339,1,170,2,"6,740"
37,Greece,"3,266,368","+6,755","28,808",+43,"3,136,230","+12,454","101,330",284,"316,167","2,788","78,594,069","7,607,476","10,331,162",Europe,3,359,0,654,4,"9,808"
38,Denmark,"2,956,306","+1,878","6,047",+17,"2,924,314","+2,587","25,945",17,"507,170","1,037","127,114,943","21,807,247","5,829,023",Europe,2,964,0,322,3,"4,451"
39,Romania,"2,886,284","+1,063","65,403",+19,"2,606,660",,"214,221",229,"151,861","3,441","22,554,522","1,186,701","19,006,074",Europe,7,291,1,56,1.0,"11,271"
40,Sweden,"2,498,388",,"18,656",,"2,461,823","+2,467","17,909",19,"244,630","1,827","18,493,218","1,810,763","10,212,942",Europe,4,547,1,,,"1,754"
41,Iraq,"2,323,878",+171,"25,201",,"2,295,073",+508,"3,604",24,"55,527",602,"18,443,454","440,693","41,851,066",Asia,18,"1,661",2,4,,86
42,Serbia,"1,999,753",+977,"15,945",+5,"1,964,782",+989,"19,026",26,"230,550","1,838","9,415,165","1,085,466","8,673,848",Europe,4,544,1,113,0.6,"2,193"
43,Bangladesh,"1,952,485",+45,"29,127",,"1,892,443",+371,"30,915","1,283","11,646",174,"13,947,427","83,193","167,651,092",Asia,86,"5,756",12,0.3,,184
44,Hungary,"1,888,906","+3,041","46,024",+24,"1,770,066","+6,155","72,816",48,"196,432","4,786","11,285,527","1,173,611","9,616,075",Europe,5,209,1,316,2,"7,572"
45,Slovakia,"1,770,460","+2,415","19,803",+13,"1,721,905","+4,363","28,752",109,"323,998","3,624","7,041,022","1,288,522","5,464,416",Europe,3,276,1,442,2,"5,262"
46,Jordan,"1,694,216",,"14,048",,"1,678,941",,"1,227",124,"163,125","1,353","16,670,254","1,605,074","10,385,972",Asia,6,739,1,,,118
47,Georgia,"1,653,915",+223,"16,794",,"1,634,990",+399,"2,131",,"416,043","4,225","16,774,959","4,219,749","3,975,345",Asia,2,237,0,56,,536
48,Pakistan,"1,527,589",+103,"30,368",,"1,493,870",+74,"3,351",205,"6,681",133,"27,987,766","122,414","228,632,286",Asia,150,"7,529",8,0.5,,15
49,Ireland,"1,508,373","+1,410","6,993",+12,"1,390,904","+7,691","110,476",37,"299,438","1,388","12,009,921","2,384,176","5,037,346",Europe,3,720,0,280,2,"21,931"
50,Norway,"1,422,583",+892,"2,871",,N/A,N/A,N/A,20,"258,757",522,"11,002,430","2,001,256","5,497,762",Europe,4,"1,915",0,162,,"242,055"
51,Kazakhstan,"1,305,431",+14,"13,660",,"1,290,945",+41,826,24,"68,055",712,"11,575,012","603,428","19,182,103",Asia,15,"1,404",2,0.7,,43
52,Hong Kong,"1,200,334",+628,"9,212",+26,N/A,N/A,N/A,115,"157,798","1,211","44,972,952","5,912,223","7,606,775",Asia,6,826,0,83,3,"154,847"
53,Singapore,"1,174,390","+3,420","1,322",+3,"1,104,841","+2,572","68,227",6,"197,929",223,"23,712,995","3,996,529","5,933,398",Asia,5,"4,488",0,576,0.5,"11,499"
54,Morocco,"1,164,567",+60,"16,064",,"1,148,002",+91,501,293,"30,890",426,"11,237,010","298,062","37,700,242",Africa,32,"2,347",3,2,,13
55,Bulgaria,"1,152,251",+631,"36,838",+11,"959,289","+1,455","156,124",111,"168,113","5,375","9,788,010","1,428,063","6,854,044",Europe,6,186,1,92,2,"22,778"
56,Croatia,"1,115,442","+1,301","15,765",+8,"1,095,334",+573,"4,343",23,"274,768","3,883","4,754,410","1,171,160","4,059,575",Europe,4,258,1,320,2,"1,070"
57,Cuba,"1,100,938",+329,"8,522",,"1,090,977",+326,"1,439",23,"97,306",753,"12,920,253","1,141,957","11,314,137",North America,10,"1,328",1,29,,127
58,Lebanon,"1,096,099",+140,"10,370",+2,"1,078,634",+408,"7,095",186,"161,899","1,532","4,795,578","708,328","6,770,277",Asia,6,653,1,21,0.3,"1,048"
59,Lithuania,"1,052,454","+1,186","9,041",+6,"1,012,975","+1,763","30,438",41,"396,591","3,407","8,201,785","3,090,638","2,653,751",Europe,3,294,0,447,2,"11,470"
60,Tunisia,"1,039,532",,"28,533",,N/A,N/A,N/A,29,"86,327","2,369","4,563,397","378,962","12,041,845",Africa,12,422,3,,,"-1,064.21"
