#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"149,354,002","+168,298","1,427,047",+222,"126,839,695","+56,715","21,087,260","12,049",,,,,,Asia,,,,,,
,North America,"99,364,754","+106,012","1,466,154",+431,"94,679,689","+54,141","3,218,911","7,313",,,,,,North America,,,,,,
,South America,"57,046,815","+30,193","1,296,031",+162,"53,161,141","+23,476","2,589,643","10,690",,,,,,South America,,,,,,
,Europe,"193,567,573","+208,171","1,827,872",+731,"180,753,704","+409,988","10,985,997","8,155",,,,,,Europe,,,,,,
,Oceania,"7,709,783","+65,477","11,162",+78,"7,241,700","+62,260","456,921",147,,,,,,Australia/Oceania,,,,,,
,Africa,"12,014,495","+11,304","254,170",+51,"11,191,937","+7,165","568,388",963,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"519,058,143","+589,455","6,282,451","+1,675","473,868,572","+613,745","38,907,120","39,317","66,590",806.0,,,,All,,,,,,
1,China,"220,721",+324,"5,198",+7,"207,955",+817,"7,568",484,153,4,"160,000,000","111,163","1,439,323,776",Asia,"6,521","276,900",9,0.2,,5
2,USA,"83,980,549","+91,848","1,025,887",+259,"81,115,216","+47,749","1,839,446","1,794","250,983","3,066","1,014,741,268","3,032,636","334,607,037",North America,4,326,0,274,0.8,"5,497"
3,India,"43,113,413","+2,827","524,181",+24,"42,570,165","+3,230","19,067",698,"30,681",373,"841,986,891","599,194","1,405,198,953",Asia,33,"2,681",2,2,0.02,14
4,Brazil,"30,617,786","+23,398","664,564",+121,"29,697,931","+16,811","255,291","8,318","142,167","3,086","63,776,166","296,130","215,365,259",South America,7,324,3,109,0.6,"1,185"
5,France,"29,061,523","+40,299","147,075",+96,"27,929,038","+103,884","985,410","1,364","443,405","2,244","269,816,888","4,116,720","65,541,715",Europe,2,446,0,615,1,"15,035"
6,Germany,"25,583,258","+93,102","137,449",+227,"23,676,700","+139,800","1,769,109","1,279","303,546","1,631","122,332,384","1,451,475","84,281,420",Europe,3,613,1,"1,105",3,"20,990"
7,UK,"22,145,157",+529,"176,424",,"21,616,575","+26,588","352,158",253,"323,060","2,574","519,264,096","7,575,165","68,548,221",Europe,3,389,0,8,,"5,137"
8,Russia,"18,241,329","+4,102","377,248",+98,"17,619,414","+5,043","244,667","2,300","124,897","2,583","273,400,000","1,871,953","146,050,656",Europe,8,387,1,28,0.7,"1,675"
9,S. Korea,"17,658,794","+43,899","23,491",+29,N/A,N/A,N/A,383,"343,883",457,"15,804,065","307,765","51,351,115",Asia,3,"2,186",3,855,0.6,"324,546"
10,Italy,"16,915,467","+42,415","164,846",+115,"15,709,259","+84,344","1,041,362",338,"280,537","2,734","216,861,042","3,596,563","60,296,749",Europe,4,366,0,703,2,"17,271"
11,Turkey,"15,048,449","+1,670","98,870",+9,"14,946,104","+1,711","3,475",975,"174,933","1,149","160,225,407","1,862,560","86,024,294",Asia,6,870,1,19,0.1,40
12,Spain,"12,058,888",,"105,123",,"11,522,364",,"431,401",339,"257,732","2,247","471,036,328","10,067,373","46,788,405",Europe,4,445,0,,,"9,220"
13,Vietnam,"10,686,522","+2,758","43,060",+2,"9,327,523","+2,589","1,315,939",365,"107,983",435,"85,806,532","867,040","98,964,940",Asia,9,"2,298",1,28,0.02,"13,297"
14,Argentina,"9,101,319",,"128,729",,"8,895,999",,"76,591",372,"198,001","2,801","35,716,069","777,012","45,965,910",South America,5,357,1,,,"1,666"
15,Japan,"8,172,238","+39,041","29,894",+51,"7,814,056","+29,901","328,288",163,"64,984",238,"49,847,482","396,378","125,757,594",Asia,15,"4,207",3,310,0.4,"2,610"
16,Netherlands,"8,064,418","+1,395","22,288",+7,"7,973,258","+6,623","68,872",57,"468,718","1,295","21,107,399","1,226,798","17,205,274",Europe,2,772,1,81,0.4,"4,003"
17,Iran,"7,226,672",+453,"141,198",+6,"7,012,770","+2,072","72,704",818,"84,042","1,642","51,622,353","600,335","85,989,220",Asia,12,609,2,5,0.07,846
18,Australia,"6,391,910","+57,088","7,613",+48,"6,033,554","+50,256","350,743",114,"245,378",292,"70,221,824","2,695,730","26,049,283",Australia/Oceania,4,"3,422",0,"2,192",2,"13,465"
19,Colombia,"6,093,645",,"139,809",,"5,927,076",,"26,760",342,"117,434","2,694","34,560,302","666,030","51,889,988",South America,9,371,2,,,516
20,Indonesia,"6,049,541",+400,"156,424",+8,"5,887,786",+916,"5,331","2,771","21,691",561,"96,868,506","347,330","278,894,521",Asia,46,"1,783",3,1,0.03,19
21,Poland,"6,001,894",+567,"116,164",+15,"5,335,001",+29,"550,729",981,"158,908","3,076","36,188,226","958,130","37,769,645",Europe,6,325,1,15,0.4,"14,581"
22,Mexico,"5,745,652",,"324,465",,"5,044,893",,"376,294","4,798","43,710","2,468","15,855,490","120,622","131,448,210",North America,23,405,8,,,"2,863"
