#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"158,800,428","+141,010","1,435,006",+247,"152,738,669","+184,131","4,626,753","10,586",,,,,,Asia,,,,,,
,North America,"103,199,236","+56,351","1,479,635",+103,"97,004,929","+82,432","4,714,672","8,179",,,,,,North America,,,,,,
,South America,"58,455,197","+27,513","1,301,030",+80,"55,441,031","+7,092","1,713,136","10,526",,,,,,South America,,,,,,
,Europe,"198,815,632","+132,673","1,847,721",+179,"190,300,767","+113,430","6,667,144","5,757",,,,,,Europe,,,,,,
,Oceania,"9,171,212","+25,448","13,022",+30,"8,838,051","+22,022","320,139",129,,,,,,Australia/Oceania,,,,,,
,Africa,"12,205,466","+3,064","255,310",+9,"11,411,020","+5,817","539,136",975,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"540,647,892","+386,059","6,331,739",+648,"515,735,173","+414,924","18,580,980","36,152","69,360",812.3,,,,All,,,,,,
1,China,"224,793",+134,"5,226",,"218,704",+57,863,21,156,4,"160,000,000","111,163","1,439,323,776",Asia,"6,403","275,416",9,0.09,,0.6
2,USA,"87,375,424","+46,031","1,035,967",+46,"83,160,719","+75,264","3,178,738","2,812","260,996","3,095","1,039,618,470","3,105,411","334,776,423",North America,4,323,0,137,0.1,"9,495"
3,India,"43,232,004","+9,987","524,771",+10,"42,657,335","+4,592","49,898",698,"30,740",373,"854,859,461","607,842","1,406,384,242",Asia,33,"2,680",2,7,0.01,35
4,Brazil,"31,456,865","+7,192","668,177",+43,"30,182,173",,"606,515","8,318","145,973","3,101","63,776,166","295,949","215,497,163",South America,7,323,3,33,0.2,"2,814"
5,France,"29,849,919","+79,397","148,749",,"29,210,587","+4,386","490,583",869,"455,346","2,269","271,490,188","4,141,455","65,554,307",Europe,2,441,0,"1,211",,"7,484"
6,Germany,"26,847,783",+359,"140,183",+3,"25,882,900","+12,100","824,700",631,"318,461","1,663","122,332,384","1,451,073","84,304,782",Europe,3,601,1,4,0.04,"9,782"
7,UK,"22,401,172","+9,410","179,255",+19,"22,036,940","+8,505","184,977",188,"326,646","2,614","522,526,476","7,619,299","68,579,336",Europe,3,383,0,137,0.3,"2,697"
8,Russia,"18,376,587","+3,403","380,020",+65,"17,794,561","+3,480","202,006","2,300","125,819","2,602","273,400,000","1,871,883","146,056,108",Europe,8,384,1,23,0.4,"1,383"
9,S. Korea,"18,225,460","+7,382","24,371",+20,"17,993,572","+23,928","207,517",98,"354,892",475,"15,804,065","307,742","51,354,960",Asia,3,"2,107",3,144,0.4,"4,041"
10,Italy,"17,653,672","+19,065","167,391",+26,"16,863,770","+18,036","622,511",183,"292,817","2,776","223,025,536","3,699,274","60,289,007",Europe,3,360,0,316,0.4,"10,325"
11,Turkey,"15,072,747",,"98,965",,"14,971,256",,"2,526",975,"175,054","1,149","162,743,369","1,890,088","86,103,597",Asia,6,870,1,,,29
12,Spain,"12,497,060","+9,033","107,174",+33,"11,974,459","+22,712","415,427",339,"267,088","2,291","471,036,328","10,067,034","46,789,983",Europe,4,437,0,193,0.7,"8,879"
13,Vietnam,"10,731,812",+568,"43,083",,"9,553,193","+5,274","1,135,536",24,"108,357",435,"85,819,388","866,500","99,041,436",Asia,9,"2,299",1,6,,"11,465"
14,Argentina,"9,313,453","+5,263","128,994",+3,"8,895,999",,"288,460",344,"202,457","2,804","35,716,069","776,400","46,002,135",South America,5,357,1,114,0.07,"6,271"
15,Japan,"9,038,604","+14,684","30,879",+13,"8,844,362","+19,348","163,363",66,"71,892",246,"53,936,990","429,011","125,723,891",Asia,14,"4,072",2,117,0.1,"1,299"
16,Netherlands,"8,106,153","+1,893","22,336",+2,"8,043,511","+1,425","40,306",33,"471,053","1,298","21,107,399","1,226,563","17,208,579",Europe,2,770,1,110,0.1,"2,342"
17,Australia,"7,615,399","+20,865","9,047",+23,"7,388,112","+17,550","218,240",96,"292,056",347,"72,736,713","2,789,504","26,075,142",Australia/Oceania,3,"2,882",0,800,0.9,"8,370"
18,Iran,"7,233,688",+160,"141,350",+1,"7,058,972",+307,"33,366",372,"84,031","1,642","52,298,398","607,533","86,083,213",Asia,12,609,2,2,0.01,388
19,Colombia,"6,117,847",,"139,894",,"5,943,925",,"34,028",342,"117,793","2,694","35,175,528","677,268","51,937,378",South America,8,371,1,,,655
20,Indonesia,"6,060,488",+551,"156,643",+2,"5,899,111",+353,"4,734","2,771","21,711",561,"99,560,389","356,659","279,147,249",Asia,46,"1,782",3,2,0.01,17
21,Poland,"6,010,045",+56,"116,371",,"5,335,557",+6,"558,117",408,"159,139","3,081","36,410,576","964,109","37,766,035",Europe,6,325,1,1,,"14,778"
22,Mexico,"5,821,262","+6,396","325,186",+42,"5,085,666","+2,287","410,410","4,798","44,246","2,472","16,143,751","122,704","131,566,572",North America,23,405,8,49,0.3,"3,119"
23,Ukraine,"5,014,929",,"108,605",,N/A,N/A,N/A,177,"116,024","2,513","19,521,252","451,639","43,223,130",Europe,9,398,2,,,"19,626"
24,Portugal,"4,917,127",,"23,531",,"4,262,140","+24,287","631,456",61,"484,975","2,321","42,825,431","4,223,865","10,138,920",Europe,2,431,0,,,"62,280"
25,Malaysia,"4,526,298","+1,571","35,712",+1,"4,468,191","+1,887","22,395",26,"136,448","1,077","60,330,396","1,818,699","33,172,274",Asia,7,929,1,47,0.03,675
26,Thailand,"4,484,863","+2,474","30,337",+20,"4,432,199","+4,236","22,327","1,496","63,941",433,"17,270,775","246,231","70,140,482",Asia,16,"2,312",4,35,0.3,318
