#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,"105,869,447","+4,271","1,488,760",+5,"99,408,072","+18,197","4,972,615","8,774",,,,,,North America,,,,,,
,Asia,"161,949,407","+96,595","1,440,370",+168,"156,399,727","+114,951","4,109,310","11,948",,,,,,Asia,,,,,,
,South America,"60,006,132","+1,782","1,306,265",,"57,171,162","+2,455","1,528,705","10,430",,,,,,South America,,,,,,
,Europe,"205,248,133","+37,918","1,856,995",+87,"196,070,353","+54,949","7,320,785","6,207",,,,,,Europe,,,,,,
,Oceania,"9,994,777","+47,633","14,341",+68,"9,560,463","+9,344","419,973",155,,,,,,Australia/Oceania,,,,,,
,Africa,"12,347,606",+17,"256,000",,"11,523,694",+11,"567,912","1,022",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"555,416,223","+188,216","6,362,746",+328,"530,134,177","+199,907","18,919,300","38,536","71,255",816.3,,,,All,,,,,,
1,USA,"89,567,321",,"1,043,372",,"85,286,101",,"3,237,848","3,454","267,455","3,116","1,052,987,802","3,144,302","334,887,583",North America,4,321,0,,,"9,668"
2,India,"43,532,788",,"525,242",,"42,891,933",,"115,613",698,"30,937",373,"864,451,219","614,322","1,407,162,089",Asia,32,"2,679",2,,,82
3,Brazil,"32,536,302",,"672,101",,"30,967,114",,"897,087","8,318","150,922","3,118","63,776,166","295,830","215,583,725",South America,7,321,3,,,"4,161"
4,France,"31,452,173",,"149,726",,"29,774,092",,"1,528,355",869,"479,728","2,284","271,490,188","4,140,933","65,562,570",Europe,2,438,0,,,"23,311"
5,Germany,"28,542,484",,"141,397",,"26,886,400",,"1,514,687",934,"338,501","1,677","122,332,384","1,450,809","84,320,113",Europe,3,596,1,,,"17,964"
6,UK,"22,741,065",,"180,417",,"22,182,650","+13,884","377,998",146,"331,504","2,630","522,526,476","7,617,031","68,599,756",Europe,3,380,0,,,"5,510"
7,Italy,"18,805,756",,"168,604",,"17,617,973",,"1,019,179",303,"311,953","2,797","227,930,923","3,780,957","60,283,926",Europe,3,358,0,,,"16,906"
8,Russia,"18,445,301","+2,676","381,354",+48,"17,873,576","+3,612","190,371","2,300","126,286","2,611","273,400,000","1,871,838","146,059,686",Europe,8,383,1,18,0.3,"1,303"
9,S. Korea,"18,413,997","+18,133","24,576",+2,"18,239,069","+7,182","150,352",54,"358,546",479,"15,804,065","307,727","51,357,484",Asia,3,"2,090",3,353,0.04,"2,928"
10,Turkey,"15,180,444",,"99,057",,"15,035,727",,"45,660",975,"176,198","1,150","162,743,369","1,888,946","86,155,639",Asia,6,870,1,,,530
11,Spain,"12,818,184",,"108,111",,"12,243,647",,"466,426",339,"273,945","2,311","471,036,328","10,066,811","46,791,018",Europe,4,433,0,,,"9,968"
12,Vietnam,"10,750,313",+989,"43,089",+1,"9,724,922","+9,759","982,302",30,"108,489",435,"85,826,548","866,133","99,091,636",Asia,9,"2,300",1,10,0.01,"9,913"
